BASIC5000_3404,bas50003404
BASIC5000_1213,bas50001213
BASIC5000_1575,bas50001575
BASIC5000_3362,bas50003362
BASIC5000_4419,bas50004419
BASIC5000_3376,bas50003376
BASIC5000_2068,bas50002068
BASIC5000_1561,bas50001561
BASIC5000_0119,bas50000119
BASIC5000_1207,bas50001207
BASIC5000_3410,bas50003410
BASIC5000_0131,bas50000131
BASIC5000_2726,bas50002726
BASIC5000_3438,bas50003438
BASIC5000_4357,bas50004357
BASIC5000_4431,bas50004431
BASIC5000_2040,bas50002040
BASIC5000_1549,bas50001549
BASIC5000_0657,bas50000657
BASIC5000_0643,bas50000643
BASIC5000_4425,bas50004425
BASIC5000_2054,bas50002054
BASIC5000_2732,bas50002732
BASIC5000_4343,bas50004343
BASIC5000_0125,bas50000125
BASIC5000_2901,bas50002901
BASIC5000_0870,bas50000870
BASIC5000_0864,bas50000864
BASIC5000_2915,bas50002915
BASIC5000_4394,bas50004394
BASIC5000_0694,bas50000694
BASIC5000_2083,bas50002083
BASIC5000_2097,bas50002097
BASIC5000_3389,bas50003389
BASIC5000_0680,bas50000680
BASIC5000_0858,bas50000858
BASIC5000_2929,bas50002929
BASIC5000_4380,bas50004380
BASIC5000_3160,bas50003160
BASIC5000_0469,bas50000469
BASIC5000_1777,bas50001777
BASIC5000_1011,bas50001011
BASIC5000_4169,bas50004169
BASIC5000_3606,bas50003606
BASIC5000_2518,bas50002518
BASIC5000_3612,bas50003612
BASIC5000_1005,bas50001005
BASIC5000_1763,bas50001763
BASIC5000_3174,bas50003174
BASIC5000_1993,bas50001993
BASIC5000_0455,bas50000455
BASIC5000_2242,bas50002242
BASIC5000_4633,bas50004633
BASIC5000_4155,bas50004155
BASIC5000_2524,bas50002524
BASIC5000_0333,bas50000333
BASIC5000_1039,bas50001039
BASIC5000_0327,bas50000327
BASIC5000_4141,bas50004141
BASIC5000_2530,bas50002530
BASIC5000_2256,bas50002256
BASIC5000_3148,bas50003148
BASIC5000_4627,bas50004627
BASIC5000_1987,bas50001987
BASIC5000_0441,bas50000441
BASIC5000_4814,bas50004814
BASIC5000_3809,bas50003809
BASIC5000_4800,bas50004800
BASIC5000_1978,bas50001978
BASIC5000_4828,bas50004828
BASIC5000_2281,bas50002281
BASIC5000_1788,bas50001788
BASIC5000_1950,bas50001950
BASIC5000_0496,bas50000496
BASIC5000_3821,bas50003821
BASIC5000_4196,bas50004196
BASIC5000_3835,bas50003835
BASIC5000_4182,bas50004182
BASIC5000_1944,bas50001944
BASIC5000_0482,bas50000482
BASIC5000_2295,bas50002295
BASIC5000_3014,bas50003014
BASIC5000_1603,bas50001603
BASIC5000_1165,bas50001165
BASIC5000_3772,bas50003772
BASIC5000_2478,bas50002478
BASIC5000_3766,bas50003766
BASIC5000_4009,bas50004009
BASIC5000_1171,bas50001171
BASIC5000_1617,bas50001617
BASIC5000_0509,bas50000509
BASIC5000_3000,bas50003000
BASIC5000_0521,bas50000521
BASIC5000_4747,bas50004747
BASIC5000_3028,bas50003028
BASIC5000_2336,bas50002336
BASIC5000_3996,bas50003996
BASIC5000_2450,bas50002450
BASIC5000_4021,bas50004021
BASIC5000_0247,bas50000247
BASIC5000_1159,bas50001159
BASIC5000_0253,bas50000253
BASIC5000_3982,bas50003982
BASIC5000_2444,bas50002444
BASIC5000_4035,bas50004035
BASIC5000_4753,bas50004753
BASIC5000_2322,bas50002322
BASIC5000_0535,bas50000535
BASIC5000_1818,bas50001818
BASIC5000_4960,bas50004960
BASIC5000_3969,bas50003969
BASIC5000_4974,bas50004974
BASIC5000_4784,bas50004784
BASIC5000_1824,bas50001824
BASIC5000_0284,bas50000284
